id,code,name,district_id/id,city_id/id
upz_74,108,ZONA INDUSTRIAL,l10n_co_base.localidad_16,l10n_co_base.city_11001
upz_75,600,PARQUE ENTRENUBES,l10n_co_base.localidad_5,l10n_co_base.city_11001
upz_76,12,TOBERIN,l10n_co_base.localidad_1,l10n_co_base.city_11001
upz_77,98,LOS ALCAZARES,l10n_co_base.localidad_12,l10n_co_base.city_11001
upz_79,72,BOLIVIA,l10n_co_base.localidad_10,l10n_co_base.city_11001
upz_80,66,SAN FRANCISCO,l10n_co_base.localidad_19,l10n_co_base.city_11001
upz_81,50,LA GLORIA,l10n_co_base.localidad_4,l10n_co_base.city_11001
upz_82,82,PATIO BONITO,l10n_co_base.localidad_8,l10n_co_base.city_11001
upz_83,28,EL RINCON,l10n_co_base.localidad_11,l10n_co_base.city_11001
upz_84,65,ARBORIZADORA,l10n_co_base.localidad_19,l10n_co_base.city_11001
upz_85,100,GALERIAS,l10n_co_base.localidad_13,l10n_co_base.city_11001
upz_86,32,SAN BLAS,l10n_co_base.localidad_4,l10n_co_base.city_11001
upz_87,38,RESTREPO,l10n_co_base.localidad_15,l10n_co_base.city_11001
upz_88,39,QUIROGA,l10n_co_base.localidad_18,l10n_co_base.city_11001
upz_89,59,ALFONSO LOPEZ,l10n_co_base.localidad_5,l10n_co_base.city_11001
upz_90,33,SOSIEGO,l10n_co_base.localidad_4,l10n_co_base.city_11001
upz_91,56,DANUBIO,l10n_co_base.localidad_5,l10n_co_base.city_11001
upz_92,1,PASEO DE LOS LIBERTADORES,l10n_co_base.localidad_1,l10n_co_base.city_11001
upz_93,41,MUZU,l10n_co_base.localidad_16,l10n_co_base.city_11001
upz_94,111,PUENTE ARANDA,l10n_co_base.localidad_16,l10n_co_base.city_11001
upz_95,54,MARRUECOS,l10n_co_base.localidad_18,l10n_co_base.city_11001
upz_96,31,SANTA CECILIA,l10n_co_base.localidad_10,l10n_co_base.city_11001
upz_97,106,LA ESMERALDA,l10n_co_base.localidad_13,l10n_co_base.city_11001
upz_99,48,TIMIZA,l10n_co_base.localidad_8,l10n_co_base.city_11001
