id,city_id/id,district_id/id,name,code
barrio_104104,l10n_co_base.city_11001,localidad_5,PASQUILLA,104104
barrio_104104,l10n_co_base.city_11001,localidad_19,PASQUILLA,104104
barrio_104107,l10n_co_base.city_11001,localidad_19,BELLA FLOR SUR RURAL,104107
barrio_104108,l10n_co_base.city_11001,localidad_5,LAS MERCEDES,104108
barrio_104108,l10n_co_base.city_11001,localidad_19,LAS MERCEDES,104108
barrio_104110,l10n_co_base.city_11001,localidad_19,QUIBA BAJO,104110
barrio_104112,l10n_co_base.city_11001,localidad_5,SANTA ROSA,104112
barrio_104112,l10n_co_base.city_11001,localidad_19,SANTA ROSA,104112
barrio_104113,l10n_co_base.city_11001,localidad_5,SANTA BARBARA,104113
barrio_104113,l10n_co_base.city_11001,localidad_19,SANTA BARBARA,104113
barrio_104114,l10n_co_base.city_11001,localidad_19,QUIBA ALTO,104114
barrio_104118,l10n_co_base.city_11001,localidad_19,CIUDAD BOLIVAR RURAL III,104118
barrio_104119,l10n_co_base.city_11001,localidad_19,CIUDAD BOLIVAR RURAL I,104119
barrio_104127,l10n_co_base.city_11001,localidad_19,EL MOCHUELO IV,104127
barrio_104128,l10n_co_base.city_11001,localidad_19,EL MOCHUELO III,104128
barrio_104129,l10n_co_base.city_11001,localidad_19,EL MOCHUELO II,104129
barrio_104130,l10n_co_base.city_11001,localidad_5,BRAZUELOS OCCIDENTAL RURAL,104130
barrio_104130,l10n_co_base.city_11001,localidad_19,BRAZUELOS OCCIDENTAL RURAL,104130
barrio_104131,l10n_co_base.city_11001,localidad_5,MOCHUELO ALTO RURAL,104131
barrio_104131,l10n_co_base.city_11001,localidad_19,MOCHUELO ALTO RURAL,104131
barrio_105103,l10n_co_base.city_11001,localidad_9,SAN PEDRO,105103
barrio_105104,l10n_co_base.city_11001,localidad_9,EL TINTAL,105104
barrio_105105,l10n_co_base.city_11001,localidad_8,VEREDA EL TINTAL RURAL,105105
barrio_105105,l10n_co_base.city_11001,localidad_9,VEREDA EL TINTAL RURAL,105105
barrio_105203,l10n_co_base.city_11001,localidad_8,OSORIO II,105203
barrio_105210,l10n_co_base.city_11001,localidad_7,OSORIO X,105210
barrio_105210,l10n_co_base.city_11001,localidad_8,OSORIO X,105210
barrio_105223,l10n_co_base.city_11001,localidad_7,OSORIO XXIII,105223
barrio_105314,l10n_co_base.city_11001,localidad_7,EL CORZO RURAL,105314
barrio_105317,l10n_co_base.city_11001,localidad_7,SAN BERNARDINO RURAL,105317
barrio_105318,l10n_co_base.city_11001,localidad_7,SAN BERNARDINO XVIII,105318
barrio_105322,l10n_co_base.city_11001,localidad_7,SAN BERNARDINO XXII,105322
barrio_105325,l10n_co_base.city_11001,localidad_7,SAN BERNARDINO XXV,105325
barrio_105401,l10n_co_base.city_11001,localidad_9,EL CHANCO RURAL II,105401
barrio_105402,l10n_co_base.city_11001,localidad_9,CHARCO RURAL,105402
barrio_105403,l10n_co_base.city_11001,localidad_9,EL CHANCO RURAL III,105403
